review_id,review_date,carrier_code,origin_airport_id,dest_airport_id,raw_review_text
1,2024-04-22,B6,13930,12266,On-time departure and early arrival in 12266 with B6. Smooth flight with no issues whatsoever.
2,2024-09-29,NK,14869,10397,Poor inflight service on NK. The staff ignored cabin requests and cabin comfort was substandard.
3,2024-01-13,B6,14869,11433,On-time departure and early arrival in 11433 with B6. Smooth flight with no issues whatsoever.
4,2024-03-08,DL,11433,12266,Flight DL from 11433 to 12266 on 2024-03-08 was delayed by 70 minutes. Missed my connecting flight! Very disappointing service.
5,2024-08-08,WN,14771,12892,"Landed in 12892 with WN, but my checked luggage was lost! Took 2 days to recover my bags."
6,2024-07-29,AS,10397,11193,On-time departure and early arrival in 11193 with AS. Smooth flight with no issues whatsoever.
7,2024-01-06,AA,11433,14771,Flight attendants on AA were super friendly and helpful throughout the trip to 14771. Great experience!
8,2025-07-20,AA,14771,15016,"Got a fantastic deal on AA! Smooth booking process, comfortable flight, and great value for money."
9,2025-05-31,AS,12478,14869,Flight attendants on AS were super friendly and helpful throughout the trip to 14869. Great experience!
10,2025-09-01,B6,11193,14771,Decent flight with B6. Clean aircraft and punctual landing.
11,2024-12-11,B6,13204,13930,Poor inflight service on B6. The staff ignored cabin requests and cabin comfort was substandard.
12,2025-04-08,AA,10397,14771,Careless handling of luggage on flight AA. My suitcase was dented upon arrival.
13,2024-05-02,F9,12266,13303,"Got a fantastic deal on F9! Smooth booking process, comfortable flight, and great value for money."
14,2025-07-15,AA,12478,15016,Flight attendants on AA were super friendly and helpful throughout the trip to 15016. Great experience!
15,2024-09-26,NK,12478,15016,Decent flight with NK. Clean aircraft and punctual landing.
16,2024-01-10,WN,11298,14107,Ticket prices for WN to 14107 are way too high for basic economy with zero free baggage allowances.
17,2025-05-27,AS,14771,13930,Flight AS from 14771 to 13930 on 2025-05-27 was delayed by 150 minutes. Missed my connecting flight! Very disappointing service.
18,2025-04-07,DL,10397,13930,On-time departure and early arrival in 13930 with DL. Smooth flight with no issues whatsoever.
19,2025-09-17,AS,12892,13303,"Got a fantastic deal on AS! Smooth booking process, comfortable flight, and great value for money."
20,2025-05-18,AS,12478,10397,"Got a fantastic deal on AS! Smooth booking process, comfortable flight, and great value for money."
21,2024-12-30,WN,14107,12892,Careless handling of luggage on flight WN. My suitcase was dented upon arrival.
22,2025-03-09,NK,11298,13930,Poor inflight service on NK. The staff ignored cabin requests and cabin comfort was substandard.
23,2024-07-16,DL,12478,14869,Flight DL from 12478 to 14869 on 2024-07-16 was delayed by 64 minutes. Missed my connecting flight! Very disappointing service.
24,2025-09-10,UA,14869,13204,Flight UA from 14869 to 13204 on 2025-09-10 was delayed by 89 minutes. Missed my connecting flight! Very disappointing service.
25,2025-07-10,AA,11298,13930,Flight AA from 11298 to 13930 on 2025-07-10 was delayed by 124 minutes. Missed my connecting flight! Very disappointing service.
26,2025-04-07,AA,14057,12892,Significant departure delay on AA. Spent 82 hours stuck at the gate without clear updates from the airline staff.
27,2024-03-18,UA,14771,14057,Flight attendants on UA were super friendly and helpful throughout the trip to 14057. Great experience!
28,2025-04-09,F9,10397,13204,Ticket prices for F9 to 13204 are way too high for basic economy with zero free baggage allowances.
29,2024-08-29,NK,14771,14107,Ticket prices for NK to 14107 are way too high for basic economy with zero free baggage allowances.
30,2025-06-23,WN,12478,11433,Flight WN from 12478 to 11433 on 2025-06-23 was delayed by 180 minutes. Missed my connecting flight! Very disappointing service.
31,2024-01-17,WN,12892,13204,Flight WN from 12892 to 13204 on 2024-01-17 was delayed by 114 minutes. Missed my connecting flight! Very disappointing service.
32,2025-02-16,F9,13204,10397,Poor inflight service on F9. The staff ignored cabin requests and cabin comfort was substandard.
33,2024-04-18,UA,12266,13930,Flight attendants on UA were super friendly and helpful throughout the trip to 13930. Great experience!
34,2024-03-30,NK,14869,13204,On-time departure and early arrival in 13204 with NK. Smooth flight with no issues whatsoever.
35,2024-05-05,F9,11193,13204,Poor inflight service on F9. The staff ignored cabin requests and cabin comfort was substandard.
36,2024-06-17,AS,13204,14771,"Got a fantastic deal on AS! Smooth booking process, comfortable flight, and great value for money."
37,2025-08-17,NK,12478,12892,Ticket prices for NK to 12892 are way too high for basic economy with zero free baggage allowances.
38,2025-03-18,AS,11193,14107,Decent flight with AS. Clean aircraft and punctual landing.
39,2025-01-05,AA,12266,12892,Ticket prices for AA to 12892 are way too high for basic economy with zero free baggage allowances.
40,2025-09-22,AA,11193,12478,Careless handling of luggage on flight AA. My suitcase was dented upon arrival.
41,2025-11-29,F9,13303,12478,"Got a fantastic deal on F9! Smooth booking process, comfortable flight, and great value for money."
42,2024-11-16,WN,14057,11193,Ticket prices for WN to 11193 are way too high for basic economy with zero free baggage allowances.
43,2025-03-12,AS,12478,13303,Careless handling of luggage on flight AS. My suitcase was dented upon arrival.
44,2025-04-20,WN,15016,11298,"Got a fantastic deal on WN! Smooth booking process, comfortable flight, and great value for money."
45,2025-08-19,AS,11298,12478,On-time departure and early arrival in 12478 with AS. Smooth flight with no issues whatsoever.
46,2025-05-21,UA,11433,15016,Flight attendants on UA were super friendly and helpful throughout the trip to 15016. Great experience!
47,2024-02-14,B6,11298,13303,Careless handling of luggage on flight B6. My suitcase was dented upon arrival.
48,2024-10-11,F9,14107,14869,Decent flight with F9. Clean aircraft and punctual landing.
49,2025-04-04,AA,10397,15016,Flight attendants on AA were super friendly and helpful throughout the trip to 15016. Great experience!
50,2024-05-01,F9,10397,13303,Significant departure delay on F9. Spent 86 hours stuck at the gate without clear updates from the airline staff.
51,2024-08-03,F9,14771,12478,Flight F9 from 14771 to 12478 on 2024-08-03 was delayed by 38 minutes. Missed my connecting flight! Very disappointing service.
52,2024-07-01,B6,13303,12892,"Got a fantastic deal on B6! Smooth booking process, comfortable flight, and great value for money."
53,2024-07-04,F9,12266,13204,Ticket prices for F9 to 13204 are way too high for basic economy with zero free baggage allowances.
54,2024-11-30,NK,13204,15016,Poor inflight service on NK. The staff ignored cabin requests and cabin comfort was substandard.
55,2024-03-04,AA,11193,13930,Flight attendants on AA were super friendly and helpful throughout the trip to 13930. Great experience!
56,2025-03-30,F9,13204,13303,Flight attendants on F9 were super friendly and helpful throughout the trip to 13303. Great experience!
57,2025-09-22,DL,14771,11298,On-time departure and early arrival in 11298 with DL. Smooth flight with no issues whatsoever.
58,2024-12-26,F9,11193,14057,On-time departure and early arrival in 14057 with F9. Smooth flight with no issues whatsoever.
59,2025-07-24,AA,13930,13303,Ticket prices for AA to 13303 are way too high for basic economy with zero free baggage allowances.
60,2025-02-27,AS,11298,13930,Ticket prices for AS to 13930 are way too high for basic economy with zero free baggage allowances.
61,2024-02-14,WN,14869,11193,"Got a fantastic deal on WN! Smooth booking process, comfortable flight, and great value for money."
